,PDBID,G_uniGBSA,G_exp
0,10gs,-48.75,-8.74
1,1a99,-35.43,-7.78
2,1bhx,-58.45,-9.34
3,1cea,-26.94,-6.77
4,1d3p,-65.61,-10.09
5,1d4i,-91.61,-12.09
6,1d6v,-46.36,-8.43
7,1e1x,-41.69,-8.04
8,1ebw,-95.5,-12.36
9,1elc,-56.69,-9.09
10,1f5l,-31.82,-7.21
11,1fl3,-54.76,-9.28
12,1fpc,-57.84,-9.56
13,1g35,-81.69,-11.11
14,1g98,-36.73,-7.78
15,1h2t,-76.83,-10.77
16,1hih,-76.08,-10.99
17,1hmr,-49.28,-8.95
18,1hms,-49.29,-8.7
19,1i7z,-48.46,-8.74
20,1kjr,-40.9,-8.27
21,1lee,-75.09,-10.58
22,1lf2,-67.15,-10.28
23,1lyx,-16.6,-6.2
24,1m13,-71.05,-10.34
25,1m5w,-12.57,-5.83
26,1mfi,-35.9,-7.63
27,1mhw,-68.66,-10.04
28,1n4h,-50.97,-8.95
29,1njc,-34.75,-7.59
30,1njd,-37.78,-7.61
31,1nq7,-57.27,-9.28
32,1ofz,-19.57,-6.31
33,1pb8,-26.64,-7.04
34,1pxp,-52.46,-9.09
35,1qhc,-69.22,-10.34
36,1qiw,-69.9,-10.58
37,1rdt,-54.88,-9.15
38,1rnt,-26.95,-7.09
39,1sbg,-72.52,-10.58
40,1siv,-79.3,-11.03
41,1t32,-67.65,-10.14
42,1upf,-17.1,-6.29
43,1urg,-42.43,-7.96
44,1v0k,-25.59,-6.96
45,1w3l,-49.28,-8.58
46,1w4o,-32.84,-7.13
47,1w6y,-31.75,-7.32
48,1wcq,-44.81,-8.55
49,1xkk,-83.18,-11.64
50,1yc1,-47.84,-8.42
51,1zky,-45.94,-8.54
52,2avo,-88.0,-12.09
53,2b1g,-53.95,-9.07
54,2b1v,-39.46,-7.85
55,2bq7,-57.86,-9.63
56,2bqv,-76.73,-10.99
57,2brm,-39.75,-8.04
58,2bvd,-43.24,-8.2
59,2cbv,-31.93,-7.49
60,2f35,-31.43,-7.38
61,2fgi,-64.17,-10.03
62,2flr,-46.41,-8.33
63,2fqt,-43.79,-8.39
64,2fxu,-80.14,-11.14
65,2gfd,-49.68,-8.58
66,2gss,-26.41,-6.75
67,2h6b,-33.03,-7.36
68,2j77,-26.08,-6.68
69,2nmy,-82.2,-11.43
70,2nmz,-80.68,-11.43
71,2nnk,-82.77,-11.43
72,2o2u,-52.12,-8.74
73,2ok1,-49.73,-8.55
74,2psu,-72.34,-10.41
75,2pyn,-72.02,-10.34
76,2q55,-86.94,-11.87
77,2qbs,-52.98,-9.12
78,2qfo,-22.07,-6.42
79,2qhd,-31.23,-7.34
80,2reg,-34.19,-7.7
81,2uy4,-22.81,-6.39
82,2uy5,-33.65,-7.51
83,2vjx,-27.27,-6.77
84,2vqt,-40.14,-8.2
85,2vrj,-45.98,-8.61
86,2vxn,-23.43,-6.83
87,2wnc,-47.8,-8.63
88,2xbw,-74.14,-10.93
89,2xnb,-54.76,-9.33
90,2zc9,-54.64,-9.21
91,3b4p,-33.29,-7.37
92,3bex,-36.12,-7.61
93,3cd0,-66.81,-10.34
94,3cda,-72.23,-10.35
95,3cj5,-45.7,-8.66
96,3cyw,-73.05,-10.61
97,3d0b,-54.83,-8.93
98,3d1x,-86.23,-11.83
99,3d20,-78.68,-11.34
